"Name"	"Area_m2"	"d_m"
"2319"	1019308.60670718	1139.22079789147
"232"	161930.564256234	454.066512652404
"2332"	27466.9452844265	187.008023649278
"234"	13669.5450154195	131.926514666952
"2340"	327040078.249138	20405.8903344129
"2342"	4042883.60928785	2268.82332633172
"2343"	2491305.23112332	1781.01890452398
"2347"	67337.9305408086	292.809350986588
"2352"	332970.454358769	651.115312151403
"2355"	50284.0111623674	253.028835273434
"236"	86643.8406699469	332.142084428802
"2367"	15653.5623520337	141.176253678113
"2378"	11725.3170335543	122.184848985781
"2381"	16904.0209425877	146.706741253202
"2382"	272762.372925536	589.314720268035
"2384"	13110.9203731646	129.202717800312
"2385"	175144.035358001	472.229088305983
"239"	107929.849324983	370.702781508146
"2391"	14642.6578553806	136.541609121533
"2393"	112728.09726293	378.853363767452
"24"	430322.323559477	740.204971165586
"24030"	4406.36377355913	74.9023137492023
"24057"	6246.11560323604	89.1784805153544
"24084"	492670.0249076	792.014493691886
"24089"	862897.057523379	1048.17682509889
"24155"	106567.429533943	368.355623634816
"24157"	9487999.12776549	3475.70074803395
"24161"	1032577.47945428	1146.61173892654
"24188"	10993.6952349894	118.311485139673
"24317"	5287.87967364755	82.053260192934
"24321"	5832.15366091864	86.172667778441
"24354"	74587.580452127	308.168552869633
"24390"	8617531.72520904	3312.42844006417
"24488"	4211392.24310095	2315.62327296714
"2476"	584808.02377676	862.902486930587
"24937"	552843.25459378	838.988613622909
"24944"	40593.7967618456	227.344732307841
"24950"	2756.96175955807	59.2475546802733
"24996"	1501.04592597179	43.717170898983
"25"	863081.829593365	1048.289042097
"25127"	1414.10418232411	42.4322208387735
"25163"	378663.284436125	694.355145356735
"25273"	6525.90332544906	91.1539257469498
"25285"	20894.3288089127	163.105750052556
"25289"	2841.61426868132	60.1502756250439
"253"	78729.315116733	316.609029145633
"25400"	25603896.4280875	5709.63163711499
"25477"	2686.8619943972	58.4894771947271
"25511"	166156.217329353	459.952895965818
"2579"	271868.746900994	588.348569754309
"258"	24024.4960762022	174.896936641427
"2580"	188532.872266519	489.946434268314
"2586"	51112.8557163919	255.105682301381
"2588"	28368.1273540487	190.051102488931
"2590"	396335.953978636	710.373570458484
"2591"	242257.129832358	555.383973208264
"2593"	19529.2641724217	157.68776561264
"2598"	27539.8585539384	187.256073245402
"260"	32288.8986698769	202.759716517936
"2603"	4699.67067420197	77.3550680280621
"2610"	53167.2138610763	260.181857882739
"2611"	1511765.45601907	1387.38587313266
"2615"	1782.97405087157	47.6461233344994
"2617"	41684.9732632793	230.380026000596
"2619"	63689.1758183575	284.765828749735
"2620"	1345360.35104411	1308.80327049872
"2625"	1467480.7027367	1366.9142115949
"2631"	40289.7701599256	226.491784875099
"26315"	110239.115011694	374.647568535413
"2637"	16833098.1162824	4629.53196144683
"2642"	9149988.36835847	3413.22824089758
"26431"	2256027.77379965	1694.83443900062
